"filename", "language", "XML", "Java Properties", "Markdown", "HTML", "CSS", "JavaScript", "JSON", "Java", "Python", "XSL", "Shell Script", "Batch", "Ini", "Log", "comment", "blank", "total"
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wildwebdeveloper.embedder.node\node-v16.14.2-win-x64\nodevars.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 7, 25
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wildwebdeveloper.embedder.node\node-v16.14.2-win-x64\npm.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 20
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wildwebdeveloper.embedder.node\node-v16.14.2-win-x64\npx.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wildwebdeveloper.xml\system-catalog.xml", "XML", 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 232
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.internet.cache\cache.xml", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.jsdt.core\libraries\baseBrowserLibrary.js", "JavaScript", 0, 0, 0, 0, 0, 624, 0, 0, 0, 0, 0, 0, 0, 0, 4692, 77, 5393
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.jsdt.core\libraries\browserWindow.js", "JavaScript", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 462, 15, 619
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.jsdt.core\libraries\dom5.js", "JavaScript", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 685, 114, 923
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.jsdt.core\libraries\system.js", "JavaScript", 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 1268, 19, 1458
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.jsdt.core\libraries\xhr.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 87, 3, 105
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.jsdt.ui\OpenTypeHistory.xml", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.jsdt.ui\QualifiedTypeNameHistory.xml", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\modules.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\monitors.xml", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\publish.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\servers.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp-data.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\conf\catalina.properties", "Java Properties", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 9, 220
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\conf\context.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 2, 29
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\conf\server.xml", "XML", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 14, 158
